apogee_id,telescope,field,teff,logg,fe_h
2M15585070+2639475,apo25m,043+49_btx,5031.972,2.859634,-0.080222
2M11213098-1241549,apo25m,269+44_btx,6179.648,4.321037,0.19124
2M07103989-7937397,lco25m,291-25-C,4446.023,2.024066,-0.15972
2M05481930-7020452,lco25m,LMC14,6488.765,4.360739,0.029993
2M05481930-7020452,lco25m,LMC14,6366.593,4.117744,-0.042752
2M15212898+6722473,apo25m,URMINOR,6242.925,4.237024,-0.20851
2M11533556+0104367,apo25m,270+60,5977.534,4.103018,-0.089082
2M13332645+3956010,apo25m,090+75,6450.583,4.334868,-0.082911
2M10584670+1106359,apo25m,240+60,6454.723,4.22143,0.22648
2M13434025-0536007,apo25m,K2EB_C06_327+54_btx,4725.157,2.340478,-0.070552
2M03323008+3127451,apo25m,N1333-RV_btx,6319.118,4.31716,-0.093971
2M12580583+4106047,apo25m,120+75,6059.006,4.225671,-0.34728
2M04125553-6148219,lco25m,LMC26,4692.038,2.42496,-0.073811
2M06482353-0531073,apo25m,COROTA2-RV,4645.87,2.460614,-0.14776
2M06482353-0531073,apo25m,COROTA2-RV,4646.79,2.396917,-0.1406
2M07543472+2603177,apo25m,194+24_MGA,5007.775,2.919873,0.0062048
