sobject_id,apogee_id,match_key,match_method
230803001601118,2M18063559-2526018,18063559-2526018,2mass
160106004101338,2M08521656+1119380,08521656+1119380,2mass
170109002101223,2M04322988-7408497,04322988-7408497,2mass
170113002601235,2M05444733-6023341,05444733-6023341,2mass
160923004201280,2M03335173+1651058,03335173+1651058,2mass
171207003601395,2M06135469-6440550,06135469-6440550,2mass
161006004401193,2M00425868+0149361,00425868+0149361,2mass
171230004601079,2M05275764-5522445,05275764-5522445,2mass
160401005401225,2M17185378-2342207,17185378-2342207,2mass
131217004401032,2M08514355+1144264,08514355+1144264,2mass
180101003101309,2M05270616-5840129,05270616-5840129,2mass
170112001601270,2M05043551-6317035,05043551-6317035,2mass
170112003101269,2M07040978-7128080,07040978-7128080,2mass
161219003601016,2M06042541-7443092,06042541-7443092,2mass
161009004801351,2M00572609+0355331,00572609+0355331,2mass
161219004601193,2M07175684-6150171,07175684-6150171,2mass
161105003601278,2M23482690-0705534,23482690-0705534,2mass
171205003601045,2M06185587-7639530,06185587-7639530,2mass
170108003901026,2M07400102-7324033,07400102-7324033,2mass
161213004101111,2M05471310-5723150,05471310-5723150,2mass
171206004601352,2M06160578-6952440,06160578-6952440,2mass
210125002201021,2M07272488-2612054,07272488-2612054,2mass
151109003601067,2M06452955-2559563,06452955-2559563,2mass
170113002601211,2M05420416-6032356,05420416-6032356,2mass
220217001801186,2M08105231-2008376,08105231-2008376,2mass
200803004801148,2M23280650-0122184,23280650-0122184,2mass
151111002601285,2M03283007+1934086,03283007+1934086,2mass
161217004601089,2M06453811-5841451,06453811-5841451,2mass
161213002101260,2M04270340-7244056,04270340-7244056,2mass
170116001601106,2M06350647-6220144,06350647-6220144,2mass
150412002601047,2M11270126+0431487,11270126+0431487,2mass
171227004601176,2M05515824-5845521,05515824-5845521,2mass
170114003601273,2M06552031-5810214,06552031-5810214,2mass
171230003101021,2M05285409-6803030,05285409-6803030,2mass
170109001601130,2M06410093-7632324,06410093-7632324,2mass
170603007701251,2M22074672-1002111,22074672-1002111,2mass
160106004101257,2M08495682+1141329,08495682+1141329,2mass
200803005301235,2M23133915-1035111,23133915-1035111,2mass
170107004801333,2M07175458-7402109,07175458-7402109,2mass
170107002601162,2M05330391-7646030,05330391-7646030,2mass
170219002101254,2M06003795-7219197,06003795-7219197,2mass
151009002101246,2M19203445-2145328,19203445-2145328,2mass
150827003401237,2M22385475-1501202,22385475-1501202,2mass
150718004401105,2M22153725-1730124,22153725-1730124,2mass
170115002701313,2M06545799-6040173,06545799-6040173,2mass
160109002701046,2M08180704+1343178,08180704+1343178,2mass
140820003701283,2M04062868+1549175,04062868+1549175,2mass
170114005201140,2M06544559-6523313,06544559-6523313,2mass
170114002601068,2M05412027-5859348,05412027-5859348,2mass
170130003601032,2M06255206-6122249,06255206-6122249,2mass
170109003801180,2M07123257-6827110,07123257-6827110,2mass
161217006101113,2M07410417-7010033,07410417-7010033,2mass
170830002801093,2M19164574-1635226,19164574-1635226,2mass
161219003601161,2M05462118-7452145,05462118-7452145,2mass
160916003301371,2M01203649+1115080,01203649+1115080,2mass
180126002101274,2M06260745-0351021,06260745-0351021,2mass
170220002101101,2M05593333-6701136,05593333-6701136,2mass
171230002101281,2M04564577-6653274,04564577-6653274,2mass
170115002701290,2M06525415-6032106,06525415-6032106,2mass
161228002501009,2M08295500+1648145,08295500+1648145,2mass
160531005101283,2M22001451-1134306,22001451-1134306,2mass
170115002701283,2M06530971-6104457,06530971-6104457,2mass
160401003401185,2M12501646-0211583,12501646-0211583,2mass
170112002601131,2M06383196-6025293,06383196-6025293,2mass
150831004001252,2M22314368-1651276,22314368-1651276,2mass
161219003601145,2M05443782-7511344,05443782-7511344,2mass
161217004601073,2M06471521-5835507,06471521-5835507,2mass
161213003601215,2M04534726-6140470,04534726-6140470,2mass
200513002101398,2M07563630-0532554,07563630-0532554,2mass
191107003101244,2M04300307+2515197,04300307+2515197,2mass
151111002601372,2M03324622+1901580,03324622+1901580,2mass
