filename,fits_file,hip,instrument,url,status
HIP14086_FEROS_1_R42KNorm.fits.gz,HIP14086_FEROS_1_R42KNorm.fits,HIP14086,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14086_FEROS_1_R42KNorm.fits.gz,downloaded
HIP14086_HARPS_1_R42KNorm.fits.gz,HIP14086_HARPS_1_R42KNorm.fits,HIP14086,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14086_HARPS_1_R42KNorm.fits.gz,downloaded
HIP14086_UVES_1_R42KNorm.fits.gz,HIP14086_UVES_1_R42KNorm.fits,HIP14086,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14086_UVES_1_R42KNorm.fits.gz,downloaded
HIP14135_FEROS_1_R42KNorm.fits.gz,HIP14135_FEROS_1_R42KNorm.fits,HIP14135,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14135_FEROS_1_R42KNorm.fits.gz,downloaded
HIP14135_HARPS_1_R42KNorm.fits.gz,HIP14135_HARPS_1_R42KNorm.fits,HIP14135,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14135_HARPS_1_R42KNorm.fits.gz,downloaded
HIP14135_NARVAL_1_R42KNorm.fits.gz,HIP14135_NARVAL_1_R42KNorm.fits,HIP14135,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14135_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP14135_UVES_1_R42KNorm.fits.gz,HIP14135_UVES_1_R42KNorm.fits,HIP14135,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14135_UVES_1_R42KNorm.fits.gz,downloaded
HIP14632_NARVAL_1_R42KNorm.fits.gz,HIP14632_NARVAL_1_R42KNorm.fits,HIP14632,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14632_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP14838_HARPS_1_R42KNorm.fits.gz,HIP14838_HARPS_1_R42KNorm.fits,HIP14838,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14838_HARPS_1_R42KNorm.fits.gz,downloaded
HIP14838_UVES_1_R42KNorm.fits.gz,HIP14838_UVES_1_R42KNorm.fits,HIP14838,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14838_UVES_1_R42KNorm.fits.gz,downloaded
